FDT,First Trust Developed Markets Ex,First Trust Developed Markets Ex-US AlphaDEX Fund,G,N,N,100.0,Y,N
FDTS,First Trust Developed Markets ex,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,G,N,N,100.0,Y,N
FEM,First Trust Emerging Markets AlphaDEX Fund,First Trust Emerging Markets AlphaDEX Fund,G,N,N,100.0,Y,N
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,First Trust Emerging Markets Small Cap AlphaDEX Fund,G,N,N,100.0,Y,N
FEP,First Trust Europe AlphaDEX Fund,First Trust Europe AlphaDEX Fund,G,N,N,100.0,Y,N
FEX,First Trust Large Cap Core AlphaDEX Fund,First Trust Large Cap Core AlphaDEX Fund,G,N,N,100.0,Y,N
FGM,First Trust Germany AlphaDEX Fund,First Trust Germany AlphaDEX Fund,G,N,N,100.0,Y,N
FHK,First Trust Hong Kong AlphaDEX Fund,First Trust Hong Kong AlphaDEX Fund,G,N,N,100.0,Y,N
FJP,First Trust Japan AlphaDEX Fund,First Trust Japan AlphaDEX Fund,G,N,N,100.0,Y,N
FKO,First Trust South Korea AlphaDEX Fund,First Trust South Korea AlphaDEX Fund,G,N,N,100.0,Y,N
FKU,First Trust United Kingdom AlphaDEX Fund,First Trust United Kingdom AlphaDEX Fund,G,N,N,100.0,Y,N
FLN,First Trust Latin America AlphaDEX Fund,First Trust Latin America AlphaDEX Fund,G,N,N,100.0,Y,N
FMK,First Trust Mega Cap AlphaDEX Fund,First Trust Mega Cap AlphaDEX Fund,G,N,N,100.0,Y,N
FNK,First Trust Mid Cap Value AlphaDEX Fund,First Trust Mid Cap Value AlphaDEX Fund,G,N,N,100.0,Y,N
FNX,First Trust Mid Cap Core AlphaDEX Fund,First Trust Mid Cap Core AlphaDEX Fund,G,N,N,100.0,Y,N
FNY,First Trust Mid Cap Growth AlphaDEX Fund,First Trust Mid Cap Growth AlphaDEX Fund,G,N,N,100.0,Y,N
FONE,First Trust NASDAQ Smartphone Index Fund,First Trust NASDAQ Smartphone Index Fund,G,N,N,100.0,Y,N
FPA,First Trust Asia Pacific Ex,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,G,N,N,100.0,Y,N
FSZ,First Trust Switzerland AlphaDEX Fund,First Trust Switzerland AlphaDEX Fund,G,N,N,100.0,Y,N
FTA,First Trust Large Cap Value AlphaDEX Fund,First Trust Large Cap Value AlphaDEX Fund,G,N,N,100.0,Y,N
FTC,First Trust Large Cap Growth AlphaDEX Fund,First Trust Large Cap Growth AlphaDEX Fund,G,N,N,100.0,Y,N
FTGC,First Trust Global Tactical Commodity Strategy Fund,First Trust Global Tactical Commodity Strategy Fund,G,N,N,100.0,Y,N
FTSL,First Trust Senior Loan Fund ETF,First Trust Senior Loan Fund ETF,G,N,N,100.0,Y,N
FTW,First Trust Taiwan AlphaDEX Fund,First Trust Taiwan AlphaDEX Fund,G,N,N,100.0,Y,N
FUND,"Sprott Focus Trust, Inc. ","Sprott Focus Trust, Inc. - Closed End Fund",Q,N,N,100.0,N,N
FYC,First Trust Small Cap Growth AlphaDEX Fund,First Trust Small Cap Growth AlphaDEX Fund,G,N,N,100.0,Y,N
FYT,First Trust Small Cap Value AlphaDEX Fund,First Trust Small Cap Value AlphaDEX Fund,G,N,N,100.0,Y,N
FYX,First Trust Small Cap Core AlphaDEX Fund,First Trust Small Cap Core AlphaDEX Fund,G,N,N,100.0,Y,N
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,G,N,N,100.0,Y,N
GULF,WisdomTree Middle East Dividend Fund,WisdomTree Middle East Dividend Fund,G,N,N,100.0,Y,N
HYND,WisdomTree Negative Duration High Yield Bond Fund,WisdomTree Negative Duration High Yield Bond Fund,G,N,N,100.0,Y,N
